institution_name,conference,subdivision,has_football,sport,conference_fin,subdivision_fin,has_football_fin,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women,wins,losses,ties,cohort_year,gsr,fgr,nil100_player_count,nil100_sum_valuation_estimate,aid_share_of_revenue,revenue_total,expense_total
Arizona State University Campus Immersion,Big 12,P5,1,basketball,Big 12,P5,1.0,15.0,28.0,10063114.0,6733622.0,10063114.0,6733622.0,17.0,16.0,0.0,2018.0,100.0,33.0,1.0,3000000.0,0.1310547367313773,16796736.0,16796736.0
Arizona State University Campus Immersion,Big 12,P5,1,volleyball,Big 12,P5,1.0,,24.0,,2955239.0,,2955239.0,28.0,4.0,0.0,2018.0,90.0,44.0,0.0,0.0,0.1310547367313773,2955239.0,2955239.0
Baylor University,Big 12,P5,1,football,Big 12,P5,1.0,118.0,,44260293.0,,41050130.0,,5.0,7.0,0.0,2018.0,91.0,70.0,1.0,2000000.0,0.139884609780828,44260293.0,41050130.0
Baylor University,Big 12,P5,1,basketball,Big 12,P5,1.0,14.0,34.0,18424983.0,9328990.0,18424983.0,9328990.0,17.0,17.0,0.0,2018.0,80.0,78.0,1.0,2500000.0,0.139884609780828,27753973.0,27753973.0
Baylor University,Big 12,P5,1,volleyball,Big 12,P5,1.0,,22.0,,3123397.0,,3123397.0,18.0,10.0,0.0,2018.0,100.0,89.0,0.0,0.0,0.139884609780828,3123397.0,3123397.0
Brigham Young University,Big 12,P5,1,football,Big 12,P5,1.0,135.0,,51715899.0,,44561032.0,,12.0,2.0,0.0,2018.0,70.0,69.0,1.0,2000000.0,0.0612447581803791,51715899.0,44561032.0
Brigham Young University,Big 12,P5,1,basketball,Big 12,P5,1.0,17.0,16.0,28047261.0,1566760.0,17030052.0,5082856.0,23.0,12.0,0.0,2018.0,92.0,50.0,0.0,0.0,0.0612447581803791,29614021.0,22112908.0
Brigham Young University,Big 12,P5,1,volleyball,Big 12,P5,1.0,18.0,19.0,1796663.0,2062226.0,2184689.0,2759500.0,22.0,9.0,0.0,2018.0,90.0,88.0,0.0,0.0,0.0612447581803791,3858889.0,4944189.0
University of Central Florida,Big 12,P5,1,football,Big 12,P5,1.0,120.0,,30085713.0,,38695138.0,,5.0,7.0,0.0,2018.0,91.0,52.0,0.0,0.0,0.1106044587226574,30085713.0,38695138.0
University of Central Florida,Big 12,P5,1,basketball,Big 12,P5,1.0,16.0,15.0,7812023.0,4195677.0,7812023.0,4195677.0,21.0,12.0,0.0,2018.0,85.0,63.0,0.0,0.0,0.1106044587226574,12007700.0,12007700.0
University of Central Florida,Big 12,P5,1,volleyball,Big 12,P5,1.0,,14.0,,1847029.0,,1722014.0,17.0,12.0,0.0,2018.0,100.0,53.0,0.0,0.0,0.1106044587226574,1847029.0,1722014.0
University of Cincinnati-Main Campus,Big 12,P5,1,football,Big 12,P5,1.0,120.0,,30429185.0,,30429185.0,,7.0,6.0,0.0,2018.0,98.0,69.0,0.0,0.0,0.0925721878959887,30429185.0,30429185.0
University of Cincinnati-Main Campus,Big 12,P5,1,basketball,Big 12,P5,1.0,16.0,13.0,12321038.0,4400216.0,12321038.0,4400216.0,18.0,15.0,0.0,2018.0,90.0,42.0,0.0,0.0,0.0925721878959887,16721254.0,16721254.0
University of Cincinnati-Main Campus,Big 12,P5,1,volleyball,Big 12,P5,1.0,,20.0,,1946468.0,,1946468.0,15.0,13.0,0.0,2018.0,88.0,55.0,0.0,0.0,0.0925721878959887,1946468.0,1946468.0
University of Colorado Boulder,Big 12,P5,1,football,Big 12,P5,1.0,118.0,,69306235.0,,42805019.0,,3.0,9.0,0.0,2018.0,87.0,62.0,0.0,0.0,0.0849798464856608,69306235.0,42805019.0
University of Colorado Boulder,Big 12,P5,1,basketball,Big 12,P5,1.0,17.0,24.0,11918793.0,2337461.0,8608358.0,5177230.0,17.0,16.0,0.0,2018.0,64.0,38.0,0.0,0.0,0.0849798464856608,14256254.0,13785588.0
University of Colorado Boulder,Big 12,P5,1,volleyball,Big 12,P5,1.0,,19.0,,728185.0,,2225370.0,23.0,9.0,0.0,2018.0,86.0,36.0,0.0,0.0,0.0849798464856608,728185.0,2225370.0
University of Houston,Big 12,P5,1,football,Big 12,P5,1.0,119.0,,23271364.0,,23271364.0,,10.0,3.0,0.0,2018.0,73.0,60.0,0.0,0.0,0.0936237859971497,23271364.0,23271364.0
University of Houston,Big 12,P5,1,basketball,Big 12,P5,1.0,14.0,14.0,14577598.0,3685535.0,14577598.0,3685535.0,30.0,7.0,0.0,2018.0,100.0,33.0,1.0,2500000.0,0.0936237859971497,18263133.0,18263133.0
University of Houston,Big 12,P5,1,volleyball,Big 12,P5,1.0,,19.0,,1780695.0,,1780695.0,9.0,20.0,0.0,2018.0,88.0,67.0,0.0,0.0,0.0936237859971497,1780695.0,1780695.0
Iowa State University,Big 12,P5,1,football,Big 12,P5,1.0,135.0,,60744404.0,,32337385.0,,8.0,4.0,0.0,2018.0,95.0,69.0,0.0,0.0,0.094864942372417,60744404.0,32337385.0
Iowa State University,Big 12,P5,1,basketball,Big 12,P5,1.0,15.0,15.0,14437710.0,1201223.0,10382761.0,5282818.0,29.0,8.0,0.0,2018.0,82.0,20.0,0.0,0.0,0.094864942372417,15638933.0,15665579.0
Iowa State University,Big 12,P5,1,volleyball,Big 12,P5,1.0,,20.0,,291641.0,,2250994.0,23.0,8.0,0.0,2018.0,100.0,60.0,0.0,0.0,0.094864942372417,291641.0,2250994.0
University of Kansas,Big 12,P5,1,football,Big 12,P5,1.0,122.0,,37107691.0,,34516494.0,,5.0,7.0,0.0,2018.0,83.0,56.0,0.0,0.0,0.0848249572663333,37107691.0,34516494.0
University of Kansas,Big 12,P5,1,basketball,Big 12,P5,1.0,19.0,14.0,21918945.0,5492126.0,19732078.0,5492126.0,24.0,11.0,0.0,2018.0,82.0,46.0,1.0,5000000.0,0.0848249572663333,27411071.0,25224204.0
University of Kansas,Big 12,P5,1,volleyball,Big 12,P5,1.0,,19.0,,2581006.0,,2581006.0,24.0,11.0,0.0,2018.0,100.0,75.0,0.0,0.0,0.0848249572663333,2581006.0,2581006.0
