institution_name,conference,subdivision,has_football,sport,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women
West Virginia University,Big 12,P5,1,volleyball,,13.0,,1254290.0,,1254290.0
Boston College,ACC,P5,1,volleyball,,22.0,,2259934.0,,2259934.0
University of California-Berkeley,ACC,P5,1,volleyball,,18.0,,2873590.0,,2873590.0
Clemson University,ACC,P5,1,volleyball,,22.0,,2980269.0,,2980269.0
Duke University,ACC,P5,1,volleyball,,19.0,,2393193.0,,2362485.0
Florida State University,ACC,P5,1,volleyball,,16.0,,1546789.0,,1546789.0
Georgia Institute of Technology-Main Campus,ACC,P5,1,volleyball,,21.0,,519389.0,,2462261.0
University of Louisville,ACC,P5,1,volleyball,,17.0,,10845580.0,,3059112.0
University of Miami,ACC,P5,1,volleyball,,17.0,,2721374.0,,2721374.0
University of North Carolina at Chapel Hill,ACC,P5,1,volleyball,,19.0,,881622.0,,1702233.0
North Carolina State University at Raleigh,ACC,P5,1,volleyball,,18.0,,929645.0,,1763173.0
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,volleyball,,16.0,,3363298.0,,3363298.0
Southern Methodist University,ACC,P5,1,volleyball,,14.0,,3585674.0,,3585674.0
Stanford University,ACC,P5,1,volleyball,16.0,15.0,1222045.0,3706537.0,1222045.0,3706537.0
Syracuse University,ACC,P5,1,volleyball,,19.0,,1032461.0,,1969072.0
Virginia Polytechnic Institute and State University,ACC,P5,1,volleyball,,19.0,,348944.0,,1767653.0
University of Virginia-Main Campus,ACC,P5,1,volleyball,,19.0,,2309426.0,,2309426.0
Wake Forest University,ACC,P5,1,volleyball,,20.0,,2573425.0,,2573425.0
University of Notre Dame,ACC,P5,1,volleyball,,22.0,,3691281.0,,3691281.0
Oregon State University,Pac-12,P5,1,volleyball,,14.0,,1909379.0,,1909379.0
Washington State University,Pac-12,P5,1,volleyball,,24.0,,1130274.0,,1902894.0
Butler University,Big East,non-P5,1,volleyball,,22.0,,1205171.0,,1215599.0
Creighton University,Big East,non-P5,0,volleyball,,19.0,,2249516.0,,2328459.0
DePaul University,Big East,non-P5,0,volleyball,,15.0,,1335270.0,,1335270.0
Georgetown University,Big East,non-P5,1,volleyball,,17.0,,1620817.0,,1620817.0
Marquette University,Big East,non-P5,0,volleyball,,16.0,,2469167.0,,2469167.0
Providence College,Big East,non-P5,0,volleyball,,17.0,,1283845.0,,1283845.0
Seton Hall University,Big East,non-P5,0,volleyball,,23.0,,1197626.0,,1197626.0
St. John's University-New York,Big East,non-P5,0,volleyball,,14.0,,1495633.0,,1495633.0
Villanova University,Big East,non-P5,1,volleyball,,19.0,,1864439.0,,1864439.0
Xavier University,Big East,non-P5,0,volleyball,,17.0,,1279154.0,,1279157.0
Gonzaga University,WCC,non-P5,0,volleyball,,18.0,,1775851.0,,1864491.0
Saint Mary's College of California,WCC,non-P5,0,volleyball,,16.0,,1481557.0,,1481557.0
University of Denver,Summit League,non-P5,0,volleyball,,15.0,,1592057.0,,1592057.0
University of Illinois Urbana-Champaign,Big Ten,P5,1,soccer,,27.0,,241551.0,,2798415.0
University of Iowa,Big Ten,P5,1,soccer,,43.0,,389611.0,,2521548.0
Indiana University-Bloomington,Big Ten,P5,1,soccer,35.0,33.0,2565055.0,2418676.0,2565055.0,2418676.0
University of Maryland-College Park,Big Ten,P5,1,soccer,29.0,32.0,542896.0,291136.0,2862342.0,1975248.0
University of Michigan-Ann Arbor,Big Ten,P5,1,soccer,30.0,33.0,166307.0,134226.0,2214856.0,2539203.0
Michigan State University,Big Ten,P5,1,soccer,28.0,32.0,1796598.0,2506914.0,1796598.0,2506914.0
University of Minnesota-Twin Cities,Big Ten,P5,1,soccer,,29.0,,154953.0,,2210521.0
University of Nebraska-Lincoln,Big Ten,P5,1,soccer,,38.0,,162927.0,,2461665.0
Northwestern University,Big Ten,P5,1,soccer,29.0,31.0,737081.0,1464744.0,1650824.0,2434828.0
Ohio State University-Main Campus,Big Ten,P5,1,soccer,28.0,28.0,2280643.0,2775323.0,2280643.0,2775323.0
University of Oregon,Big Ten,P5,1,soccer,,29.0,,210824.0,,2422748.0
Pennsylvania State University-Main Campus,Big Ten,P5,1,soccer,27.0,36.0,538565.0,849569.0,1926335.0,3067352.0
Purdue University-Main Campus,Big Ten,P5,1,soccer,,36.0,,531926.0,,2222579.0
Rutgers University-New Brunswick,Big Ten,P5,1,soccer,28.0,38.0,2239058.0,2661648.0,2239058.0,2661648.0
University of California-Los Angeles,Big Ten,P5,1,soccer,27.0,41.0,2176275.0,3174019.0,2176275.0,3174019.0
University of Southern California,Big Ten,P5,1,soccer,,36.0,,3701474.0,,3701474.0
University of Washington-Seattle Campus,Big Ten,P5,1,soccer,32.0,34.0,696263.0,1092810.0,3121941.0,3507930.0
University of Wisconsin-Madison,Big Ten,P5,1,soccer,27.0,35.0,776696.0,765174.0,2349665.0,2575091.0
The University of Alabama,SEC,P5,1,soccer,,39.0,,3108965.0,,3108965.0
University of Arkansas,SEC,P5,1,soccer,,37.0,,172775.0,,3020704.0
Auburn University,SEC,P5,1,soccer,,35.0,,456839.0,,3108462.0
University of Florida,SEC,P5,1,soccer,,34.0,,126662.0,,2617495.0
University of Georgia,SEC,P5,1,soccer,,44.0,,111244.0,,3117362.0
University of Kentucky,SEC,P5,1,soccer,27.0,56.0,2283310.0,2600180.0,2283310.0,2600180.0
Louisiana State University and Agricultural & Mechanical College,SEC,P5,1,soccer,,32.0,,202609.0,,2748277.0
University of Missouri-Columbia,SEC,P5,1,soccer,,30.0,,2567615.0,,2567615.0
Mississippi State University,SEC,P5,1,soccer,,41.0,,3058114.0,,3058114.0
University of Mississippi,SEC,P5,1,soccer,,34.0,,2819404.0,,2819404.0
University of Oklahoma-Norman Campus,SEC,P5,1,soccer,,32.0,,264902.0,,3152445.0
University of South Carolina-Columbia,SEC,P5,1,soccer,29.0,43.0,2147812.0,2810092.0,2147812.0,2810092.0
The University of Tennessee-Knoxville,SEC,P5,1,soccer,,40.0,,283832.0,,3450190.0
The University of Texas at Austin,SEC,P5,1,soccer,,39.0,,1341805.0,,3413500.0
Texas A&M University-College Station,SEC,P5,1,soccer,,34.0,,2591858.0,,4516707.0
Vanderbilt University,SEC,P5,1,soccer,,44.0,,4026149.0,,4026149.0
University of Arizona,Big 12,P5,1,soccer,,34.0,,2339596.0,,2339596.0
Arizona State University Campus Immersion,Big 12,P5,1,soccer,,31.0,,2550164.0,,2550164.0
Baylor University,Big 12,P5,1,soccer,,33.0,,3398434.0,,3398434.0
Brigham Young University,Big 12,P5,1,soccer,,31.0,,5004505.0,,4378229.0
University of Central Florida,Big 12,P5,1,soccer,27.0,30.0,3293275.0,3685441.0,1862097.0,1900711.0
University of Cincinnati-Main Campus,Big 12,P5,1,soccer,,32.0,,1663077.0,,1663077.0
University of Colorado Boulder,Big 12,P5,1,soccer,,28.0,,760901.0,,2516780.0
University of Houston,Big 12,P5,1,soccer,,32.0,,1405457.0,,1405457.0
Iowa State University,Big 12,P5,1,soccer,,36.0,,157095.0,,1902937.0
University of Kansas,Big 12,P5,1,soccer,,30.0,,2896029.0,,2896029.0
Kansas State University,Big 12,P5,1,soccer,,35.0,,1754882.0,,1754882.0
Oklahoma State University-Main Campus,Big 12,P5,1,soccer,,30.0,,537554.0,,1927857.0
Texas Christian University,Big 12,P5,1,soccer,,38.0,,3389833.0,,3389833.0
Texas Tech University,Big 12,P5,1,soccer,,29.0,,623515.0,,3142884.0
University of Utah,Big 12,P5,1,soccer,,26.0,,830609.0,,2278819.0
West Virginia University,Big 12,P5,1,soccer,30.0,32.0,1242903.0,1480512.0,1242903.0,1480512.0
Boston College,ACC,P5,1,soccer,35.0,38.0,1990839.0,2777121.0,1990839.0,2777121.0
University of California-Berkeley,ACC,P5,1,soccer,42.0,33.0,713043.0,1732547.0,1577158.0,1732547.0
Clemson University,ACC,P5,1,soccer,34.0,27.0,3583872.0,2843918.0,3583872.0,2843918.0
Duke University,ACC,P5,1,soccer,31.0,27.0,2168207.0,3043304.0,2500862.0,3146339.0
